"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Desulfocapsa sulfexigens",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,NA,NA
"Pelobacter carbinolicus",NA,NA,"sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Thermococcus sibiricus",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Shewanella putrefaciens","gelatin hydrolysis, hydrogen sulfide, acetylglucosamine","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, arginine dihydrolase, oxidase","environmental, sediment, freeliving",NA,NA,"pairs, singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","facultative",NA,"bacilli",NA,"mesophilic"
"Acidovorax sp. NO-1","ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Saccharomonospora azurea",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Mycoplasma suis",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Saccharomonospora cyanea",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Saccharomonospora glauca",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Anaerolinea thermophila",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"uncultured Termite group 1 bacterium",NA,NA,"hostassociated, host, fecal, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Acinetobacter sp. GG2","glutamate, adipate, aspartate, ethanol, histidine, arginine","catalase",NA,NA,NA,"singles","heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Myxococcus fulvus",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli","sporulation","mesophilic"
"Myxococcus xanthus",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli","sporulation","mesophilic"
"Marinobacterium stanieri",NA,"alkaline phosphatase, catalase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Marinobacter sp. ELB17",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Actinomyces turicensis",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALR17-21",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stigmatella aurantiaca",NA,"glucosidase","freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli","sporulation","mesophilic"
"Pseudomonas psychrotolerans","glutamate, ketoglutaric acid, alanine",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cystobacter fuscus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Corynebacterium halotolerans","dextrin, glucose",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Dyadobacter fermentans","xylose","alkaline phosphatase, glucosidase, valine arylamidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Chondromyces apiculatus",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli","sporulation","mesophilic"
"Methylocaldum szegediense",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sorangium cellulosum","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Bradyrhizobium sp. th.b2","arabinose, xylose, arabinose, d xylopyranoside",NA,"hostassociated, plants, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,"plantslegumes","nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Cyanobium sp. PCC 7001",NA,"alkaline phosphatase","freeliving",NA,NA,"singles","photoautotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAR86 cluster bacterium SAR86E",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Herpetosiphon aurantiacus",NA,"alkaline phosphatase","freeliving",NA,NA,"filaments",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Escherichia albertii","mannitol, trehalose, aspartate, glucose","alkaline phosphatase, esterase lipase  c8","hostassociated, digestivesystem, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Clostridium carboxidivorans",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synechococcus sp. CC9605",NA,NA,"environmental, aquatic, marine, marine, aquatic, freeliving, single",NA,NA,"singles","photoautotroph, photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Simonsiella muelleri",NA,NA,"hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Blattabacterium sp. (Panesthia angustipennis spadica)",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Treponema vincentii",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Cellulomonas sp. URHD0024","arabinose",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,"cellulosedegrader",NA,NA,NA,NA,NA,NA,"mesophilic"
"Segniliparus rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Thermoanaerobacter siderophilus",NA,NA,"freeliving, single",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,NA,"mobility",NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Segniliparus rotundus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"alpha proteobacterium BAL199",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudoflavonifractor capillosus",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Cupriavidus necator","malic acid, glutamate, ketoglutaric acid, alanine, propionate, aspartate, pyroglutamic acid, mucic acid",NA,"freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Enterococcus durans","arbutin, fructose, dextrin, salicin, glucose",NA,"hostassociated, host",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Enterococcus mundtii","arbutin, fructose, dextrin, salicin, glucose, mannose","esterase lipase  c8, esterase  c4","hostassociated, host",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Flectobacillus major",NA,"alkaline phosphatase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cyclobacterium marinum",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Runella slithyformis","melibiose","alkaline phosphatase, valine arylamidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Spirosoma linguale","arabitol, turanose","alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Thermococcus kodakarensis",NA,NA,"environmental, hydrothermalvents, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Intrasporangium calvum",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Chlorobaculum parvum",NA,NA,"freeliving",NA,NA,"chains, singles","photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Gemmata obscuriglobus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halalkalicoccus jeotgali",NA,"oxidase","freeliving, single",NA,NA,NA,NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Planctomyces brasiliensis",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Planctomyces limnophilus",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Hamadaea tsunoensis","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Planctomyces maris",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thermodesulfovibrio thiophilus",NA,NA,"single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Blastopirellula marina",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pirellula staleyi",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Psychroserpens burtonensis","dextrin, salicin",NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,NA
"Isosphaera pallida",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moraxella caprae",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylobacterium sp. 4-46","glutamate","alkaline phosphatase, glucosidase","hostassociated, plants, host, hostassociated",NA,NA,"pairs, singles","methylotroph",NA,"negative",NA,NA,"plantsexceptlegumes","nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thiomonas arsenitoxydans","ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Microvirgula aerodenitrificans",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Francisella sp. TX077308","hydrogen sulfide, indole production, glucose","esterase lipase  c8, esterase  c4","hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Borrelia burgdorferi",NA,NA,"hostassociated, blood, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Borrelia hermsii",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in mammals",NA,NA,"motility","strictaero",NA,"spirilla",NA,"mesophilic"
"Desulfotomaculum carboxydivorans",NA,NA,"freeliving",NA,NA,"pairs",NA,NA,"positive",NA,NA,NA,"hydrogensulfidegasrelease, sulfatereducer",NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Oceanibulbus indolifex",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Borrelia turicatae",NA,NA,"hostassociated, blood, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,"motility","strictaero",NA,"spirilla",NA,"mesophilic"
"Borrelia coriaceae",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,NA
"Pseudomonas sp. M47T1","glutamate, ketoglutaric acid, alanine, propionate, aspartate",NA,NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Ilumatobacter coccineus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Hyphomicrobium denitrificans",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudomonas sp. HYS","glutamate, ketoglutaric acid, alanine, aspartate","lipase  c14",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Acinetobacter guillouiae","glutamate, ethanol","alkaline phosphatase, esterase lipase  c8, catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter bereziniae","glutamate, adipate, ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Spirochaeta thermophila",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Microbacterium gubbeenense",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Brevibacterium album",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syntrophothermus lipocalidus",NA,NA,"freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation","thermophilic"
"Fangia hongkongensis",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Erythrobacter sp. NAP1",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Picrophilus torridus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Treponema denticola",NA,NA,"hostassociated, oral, digestivesystem, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"oral cavity, pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"spirilla",NA,"mesophilic"
"Brachyspira hyodysenteriae",NA,NA,"hostassociated, fecal, digestivesystem, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,"mammalspig",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Acinetobacter nosocomialis","glutamate, acetate, adipate, aspartate, ethanol, arginine","alkaline phosphatase, catalase","host",NA,NA,"singles","heterotroph, chemoheterotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Treponema pallidum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"spirilla",NA,"mesophilic"
"Streptomyces zinciresistens","arabinose, inositol",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Treponema bryantii",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas resinovorans","glutamate, ketoglutaric acid, alanine, acetate, aspartate, mucic acid","alkaline phosphatase, lipase  c14","freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","strictaero",NA,"bacilli",NA,"mesophilic"
"Desulfovibrio putealis",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,"bacilli",NA,NA
"Treponema saccharophilum",NA,NA,NA,NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Xanthomonas axonopodis","glutamate, ketoglutaric acid, alanine, aspartate",NA,"hostassociated, plants, phylloplane, host, hostassociated",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in plants",NA,"mobility","motility","strictaero",NA,"bacilli",NA,"mesophilic"
"Candidatus Caldiarchaeum subterraneum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Candidatus Moranella endobia",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Treponema succinifaciens",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Rubrobacter xylanophilus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Treponema lecithinolyticum",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Aster yellows witches'-broom phytoplasma",NA,NA,"hostassociated, plants, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in plants",NA,NA,NA,"strictaero",NA,"coccus",NA,"mesophilic"
"Treponema socranskii",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Leptospira biflexa",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Synechococcus sp. RS9916",NA,NA,"marine, aquatic, freeliving, single",NA,NA,"singles","photoautotroph, photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Leptospira interrogans",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"strictaero",NA,"spirilla",NA,"mesophilic"
"Leptospira borgpetersenii",NA,"esterase lipase  c8","hostassociated, human, freshwater, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Thermobrachium celere",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation",NA
"Yaniella halotolerans",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thermodesulfobacterium hveragerdense",NA,NA,"single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Geobacillus sp. WCH70","ketoglutaric acid, glucose",NA,"environmental, freeliving",NA,NA,NA,"chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","thermophilic"
"Alcanivorax pacificus",NA,"esterase lipase  c8",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Synechococcus sp. RS9917",NA,NA,"marine, aquatic, freeliving, single",NA,NA,"singles","photoautotroph, photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Corynebacterium resistens",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Leptospirillum ferrooxidans",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"ironoxidizer",NA,NA,NA,NA,NA,NA,NA
"Leptonema illini",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas pelagia","ketoglutaric acid, alanine","alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Winogradskyella lutea",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paenibacillus mucilaginosus","malic acid",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporulation","mesophilic"
"Methanocaldococcus vulcanius",NA,"esterase lipase  c8","aquatic, hydrothermalvents, marine, freeliving, single",NA,NA,NA,NA,"flagellarpresence","negative",NA,NA,NA,"methanogen",NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Desulfitobacterium hafniense",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Propionibacterium sp. 5_U_42AFAA",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
