"","STArea","STSite","Gender"
"700021300","Oral","Buccal_mucosa","Male"
"700021301","Oral","Keratinized_gingiva","Male"
"700021302","Oral","Palatine_Tonsils","Male"
"700021303","Oral","Throat","Male"
"700021304","Oral","Supragingival_plaque","Male"
"700021305","Oral","Subgingival_plaque","Male"
"700021306","Gut","Stool","Male"
"700021311","Skin","Anterior_nares","Male"
"700021361","Gut","Stool","Female"
"700021369","Vaginal","Posterior_fornix","Female"
"700021666","Oral","Subgingival_plaque","Male"
"700021683","Oral","Tongue_dorsum","Female"
"700021685","Oral","Buccal_mucosa","Female"
"700021686","Oral","Tongue_dorsum","Female"
"700021824","Gut","Stool","Male"
"700021860","Oral","Tongue_dorsum","Male"
"700021876","Gut","Stool","Male"
"700021902","Gut","Stool","Female"
"700021932","Vaginal","Posterior_fornix","Female"
"700021933","Gut","Stool","Female"
"700023045","Gut","Stool","Male"
"700023056","Oral","Supragingival_plaque","Female"
"700023058","Oral","Tongue_dorsum","Female"
"700023066","Gut","Stool","Female"
"700023069","Vaginal","Posterior_fornix","Female"
"700023113","Gut","Stool","Female"
"700023118","Skin","Anterior_nares","Female"
"700023119","Vaginal","Vaginal_introitus","Female"
"700023120","Vaginal","Mid_vagina","Female"
"700023122","Oral","Saliva","Female"
"700023124","Oral","Tongue_dorsum","Female"
"700023126","Oral","Buccal_mucosa","Female"
"700023127","Oral","Keratinized_gingiva","Female"
"700023128","Oral","Palatine_Tonsils","Female"
"700023129","Oral","Throat","Female"
"700023130","Oral","Supragingival_plaque","Female"
"700023131","Oral","Subgingival_plaque","Female"
"700023148","Vaginal","Posterior_fornix","Female"
"700023177","Vaginal","Posterior_fornix","Female"
"700023178","Oral","Supragingival_plaque","Female"
"700023182","Oral","Tongue_dorsum","Female"
"700023184","Oral","Buccal_mucosa","Female"
"700023188","Gut","Stool","Female"
"700023227","Oral","Tongue_dorsum","Female"
"700023229","Oral","Buccal_mucosa","Female"
"700023232","Oral","Supragingival_plaque","Female"
"700023267","Gut","Stool","Female"
"700023283","Vaginal","Posterior_fornix","Female"
"700023336","Skin","Anterior_nares","Male"
"700023337","Gut","Stool","Male"
"700023338","Oral","Tongue_dorsum","Male"
"700023340","Oral","Buccal_mucosa","Male"
"700023341","Oral","Keratinized_gingiva","Male"
"700023343","Oral","Throat","Male"
"700023344","Oral","Supragingival_plaque","Male"
"700023345","Oral","Subgingival_plaque","Male"
"700023346","Oral","Saliva","Male"
"700023382","Oral","Tongue_dorsum","Female"
"700023390","Gut","Stool","Female"
"700023398","Vaginal","Posterior_fornix","Female"
"700023441","Oral","Buccal_mucosa","Female"
"700023455","Vaginal","Posterior_fornix","Female"
"700023509","Gut","Stool","Male"
"700023543","Oral","Tongue_dorsum","Male"
"700023545","Oral","Buccal_mucosa","Male"
"700023549","Oral","Supragingival_plaque","Male"
"700023556","Skin","Anterior_nares","Male"
"700023578","Gut","Stool","Male"
"700023590","Oral","Tongue_dorsum","Male"
"700023596","Oral","Supragingival_plaque","Male"
"700023603","Gut","Stool","Male"
"700023634","Gut","Stool","Female"
"700023653","Gut","Stool","Female"
"700023693","Oral","Tongue_dorsum","Female"
"700023695","Oral","Buccal_mucosa","Female"
"700023699","Oral","Supragingival_plaque","Female"
"700023706","Skin","Anterior_nares","Female"
"700023709","Vaginal","Posterior_fornix","Female"
"700023712","Oral","Tongue_dorsum","Female"
"700023714","Oral","Buccal_mucosa","Female"
"700023715","Oral","Keratinized_gingiva","Female"
"700023716","Oral","Palatine_Tonsils","Female"
"700023717","Oral","Throat","Female"
"700023718","Oral","Supragingival_plaque","Female"
"700023719","Oral","Subgingival_plaque","Female"
"700023720","Gut","Stool","Female"
"700023726","Vaginal","Vaginal_introitus","Female"
"700023727","Vaginal","Mid_vagina","Female"
"700023728","Vaginal","Posterior_fornix","Female"
"700023750","Gut","Stool","Female"
"700023771","Oral","Tongue_dorsum","Female"
"700023775","Oral","Buccal_mucosa","Female"
"700023783","Oral","Supragingival_plaque","Female"
"700023788","Gut","Stool","Female"
"700023803","Vaginal","Posterior_fornix","Female"
"700023809","Oral","Buccal_mucosa","Female"
"700023813","Oral","Supragingival_plaque","Female"
"700023823","Vaginal","Posterior_fornix","Female"
"700023829","Oral","Tongue_dorsum","Female"
"700023845","Gut","Stool","Female"
"700023864","Oral","Tongue_dorsum","Female"
"700023870","Oral","Supragingival_plaque","Female"
"700023872","Gut","Stool","Female"
"700023880","Vaginal","Posterior_fornix","Female"
"700023901","Gut","Stool","Female"
"700023919","Gut","Stool","Male"
"700023924","Skin","Anterior_nares","Male"
"700023927","Oral","Tongue_dorsum","Male"
"700023929","Oral","Buccal_mucosa","Male"
"700023933","Oral","Supragingival_plaque","Male"
"700023935","Gut","Stool","Male"
"700023945","Skin","Anterior_nares","Male"
"700023951","Oral","Tongue_dorsum","Male"
"700023963","Oral","Supragingival_plaque","Male"
"700024024","Gut","Stool","Female"
"700024029","Oral","Buccal_mucosa","Female"
"700024033","Oral","Supragingival_plaque","Female"
"700024036","Skin","R_Retroauricular_crease","Female"
"700024043","Gut","Stool","Female"
"700024050","Oral","Tongue_dorsum","Female"
"700024080","Vaginal","Posterior_fornix","Female"
"700024085","Skin","Anterior_nares","Male"
"700024086","Gut","Stool","Male"
"700024089","Oral","Tongue_dorsum","Male"
"700024091","Oral","Buccal_mucosa","Male"
"700024095","Oral","Supragingival_plaque","Male"
"700024105","Skin","Anterior_nares","Male"
"700024108","Gut","Stool","Male"
"700024125","Oral","Supragingival_plaque","Male"
"700024136","Vaginal","Posterior_fornix","Female"
"700024139","Oral","Tongue_dorsum","Female"
"700024141","Gut","Stool","Female"
"700024195","Oral","Buccal_mucosa","Male"
"700024229","Oral","Supragingival_plaque","Male"
"700024233","Gut","Stool","Male"
"700024234","Gut","Stool","Female"
"700024239","Skin","Anterior_nares","Female"
"700024242","Vaginal","Posterior_fornix","Female"
"700024245","Oral","Tongue_dorsum","Female"
"700024247","Oral","Buccal_mucosa","Female"
"700024251","Oral","Supragingival_plaque","Female"
"700024295","Skin","Anterior_nares","Male"
"700024299","Oral","Tongue_dorsum","Male"
"700024301","Oral","Buccal_mucosa","Male"
"700024305","Oral","Supragingival_plaque","Male"
"700024318","Gut","Stool","Male"
"700024341","Oral","Tongue_dorsum","Female"
"700024343","Oral","Buccal_mucosa","Female"
"700024347","Oral","Supragingival_plaque","Female"
"700024349","Gut","Stool","Female"
"700024357","Vaginal","Posterior_fornix","Female"
"700024400","Oral","Buccal_mucosa","Male"
"700024407","Skin","Anterior_nares","Male"
"700024410","Oral","Supragingival_plaque","Male"
"700024417","Oral","Tongue_dorsum","Male"
"700024437","Gut","Stool","Male"
"700024448","Skin","Anterior_nares","Male"
"700024449","Gut","Stool","Male"
"700024452","Oral","Tongue_dorsum","Male"
"700024454","Oral","Buccal_mucosa","Male"
"700024458","Oral","Supragingival_plaque","Male"
"700024471","Gut","Stool","Male"
"700024509","Gut","Stool","Male"
"700024545","Gut","Stool","Male"
"700024548","Oral","Tongue_dorsum","Male"
"700024550","Oral","Buccal_mucosa","Male"
"700024554","Oral","Supragingival_plaque","Male"
"700024567","Gut","Stool","Male"
"700024576","Oral","Buccal_mucosa","Male"
"700024592","Skin","Anterior_nares","Male"
"700024596","Oral","Tongue_dorsum","Male"
"700024615","Gut","Stool","Male"
"700024640","Oral","Buccal_mucosa","Male"
"700024644","Oral","Supragingival_plaque","Male"
"700024651","Skin","Anterior_nares","Male"
"700024657","Oral","Tongue_dorsum","Male"
"700024673","Gut","Stool","Male"
"700024688","Skin","Anterior_nares","Male"
"700024692","Oral","Tongue_dorsum","Male"
"700024694","Oral","Buccal_mucosa","Male"
"700024698","Oral","Supragingival_plaque","Male"
"700024708","Skin","Anterior_nares","Male"
"700024711","Gut","Stool","Male"
"700024716","Oral","Tongue_dorsum","Male"
"700024720","Oral","Buccal_mucosa","Male"
"700024728","Oral","Supragingival_plaque","Male"
"700024743","Oral","Tongue_dorsum","Female"
"700024749","Oral","Supragingival_plaque","Female"
"700024752","Gut","Stool","Female"
"700024768","Vaginal","Posterior_fornix","Female"
"700024789","Gut","Stool","Female"
"700024790","Oral","Tongue_dorsum","Female"
"700024796","Oral","Supragingival_plaque","Female"
"700024851","Skin","Anterior_nares","Female"
"700024854","Vaginal","Posterior_fornix","Female"
"700024859","Oral","Buccal_mucosa","Female"
"700024863","Oral","Supragingival_plaque","Female"
"700024866","Gut","Stool","Female"
"700024888","Oral","Tongue_dorsum","Female"
"700024930","Gut","Stool","Male"
"700024955","Skin","Anterior_nares","Male"
"700024960","Oral","Buccal_mucosa","Male"
"700024975","Skin","Anterior_nares","Male"
"700024982","Oral","Tongue_dorsum","Male"
"700024985","Oral","Buccal_mucosa","Male"
"700024994","Oral","Supragingival_plaque","Male"
"700024998","Gut","Stool","Male"
"700032006","Oral","Tongue_dorsum","Male"
"700032013","Oral","Buccal_mucosa","Male"
"700032024","Oral","Supragingival_plaque","Male"
"700032068","Gut","Stool","Male"
"700032080","Oral","Supragingival_plaque","Male"
"700032123","Skin","Anterior_nares","Male"
"700032133","Gut","Stool","Male"
"700032134","Gut","Stool","Male"
"700032152","Oral","Tongue_dorsum","Male"
"700032170","Oral","Supragingival_plaque","Male"
"700032222","Gut","Stool","Female"
"700032228","Oral","Tongue_dorsum","Female"
"700032230","Oral","Buccal_mucosa","Female"
"700032240","Skin","Anterior_nares","Female"
"700032243","Vaginal","Posterior_fornix","Female"
"700032244","Gut","Stool","Female"
"700032256","Oral","Tongue_dorsum","Female"
"700032260","Oral","Buccal_mucosa","Female"
"700032268","Oral","Supragingival_plaque","Female"
"700032280","Skin","Anterior_nares","Female"
"700032286","Vaginal","Posterior_fornix","Female"
"700032322","Oral","Tongue_dorsum","Female"
"700032328","Oral","Supragingival_plaque","Female"
"700032334","Skin","Anterior_nares","Female"
"700032337","Vaginal","Posterior_fornix","Female"
"700032353","Oral","Buccal_mucosa","Female"
"700032413","Gut","Stool","Female"
"700032431","Oral","Tongue_dorsum","Female"
"700032437","Oral","Buccal_mucosa","Female"
"700032449","Oral","Supragingival_plaque","Female"
"700032467","Skin","Anterior_nares","Female"
"700032476","Vaginal","Posterior_fornix","Female"
"700032931","Oral","Tongue_dorsum","Male"
"700032933","Oral","Buccal_mucosa","Male"
"700032937","Oral","Supragingival_plaque","Male"
"700032943","Skin","Anterior_nares","Male"
"700032944","Gut","Stool","Male"
"700033136","Oral","Tongue_dorsum","Female"
"700033201","Gut","Stool","Male"
"700033219","Oral","Tongue_dorsum","Male"
"700033237","Oral","Supragingival_plaque","Male"
"700033363","Gut","Stool","Male"
"700033410","Skin","L_Retroauricular_crease","Male"
"700033435","Gut","Stool","Male"
"700033454","Oral","Tongue_dorsum","Female"
"700033502","Gut","Stool","Male"
"700033503","Gut","Stool","Male"
"700033520","Oral","Tongue_dorsum","Male"
"700033526","Oral","Buccal_mucosa","Male"
"700033538","Oral","Supragingival_plaque","Male"
"700033557","Skin","Anterior_nares","Male"
"700033589","Oral","Tongue_dorsum","Male"
"700033593","Oral","Buccal_mucosa","Male"
"700033665","Gut","Stool","Male"
"700033682","Oral","Tongue_dorsum","Male"
"700033689","Oral","Buccal_mucosa","Male"
"700033701","Oral","Supragingival_plaque","Male"
"700033718","Skin","Anterior_nares","Male"
"700033797","Gut","Stool","Male"
"700033815","Oral","Tongue_dorsum","Male"
"700033821","Oral","Buccal_mucosa","Male"
"700033833","Oral","Supragingival_plaque","Male"
"700033850","Skin","Anterior_nares","Male"
"700033922","Gut","Stool","Male"
"700033923","Gut","Stool","Male"
"700033954","Oral","Tongue_dorsum","Male"
"700033978","Skin","Anterior_nares","Male"
"700033986","Oral","Supragingival_plaque","Male"
"700033989","Gut","Stool","Male"
"700034030","Oral","Tongue_dorsum","Male"
"700034032","Oral","Buccal_mucosa","Male"
"700034042","Skin","Anterior_nares","Male"
"700034081","Gut","Stool","Male"
"700034087","Oral","Tongue_dorsum","Male"
"700034089","Oral","Buccal_mucosa","Male"
"700034166","Gut","Stool","Female"
"700034172","Oral","Tongue_dorsum","Female"
"700034174","Oral","Buccal_mucosa","Female"
"700034178","Oral","Supragingival_plaque","Female"
"700034184","Skin","Anterior_nares","Female"
"700034230","Vaginal","Posterior_fornix","Female"
"700034244","Oral","Supragingival_plaque","Female"
"700034250","Skin","Anterior_nares","Female"
"700034253","Vaginal","Posterior_fornix","Female"
"700034254","Gut","Stool","Female"
"700034266","Oral","Tongue_dorsum","Female"
"700034270","Oral","Buccal_mucosa","Female"
"700034622","Gut","Stool","Male"
"700034630","Oral","Buccal_mucosa","Male"
"700034634","Oral","Supragingival_plaque","Male"
"700034640","Skin","Anterior_nares","Male"
"700034780","Oral","Buccal_mucosa","Female"
"700034790","Skin","Anterior_nares","Female"
"700034793","Vaginal","Posterior_fornix","Female"
"700034794","Gut","Stool","Female"
"700034806","Oral","Tongue_dorsum","Female"
"700034838","Gut","Stool","Male"
"700034844","Oral","Tongue_dorsum","Male"
"700034846","Oral","Buccal_mucosa","Male"
"700034850","Oral","Supragingival_plaque","Male"
"700034856","Skin","Anterior_nares","Male"
"700034881","Oral","Supragingival_plaque","Male"
"700034913","Oral","Tongue_dorsum","Male"
"700034915","Oral","Buccal_mucosa","Male"
"700034919","Oral","Supragingival_plaque","Male"
"700034925","Skin","Anterior_nares","Male"
"700034926","Gut","Stool","Male"
"700034954","Skin","L_Retroauricular_crease","Male"
"700034956","Skin","R_Retroauricular_crease","Male"
"700035157","Gut","Stool","Male"
"700035237","Gut","Stool","Male"
"700035373","Gut","Stool","Male"
"700035379","Oral","Tongue_dorsum","Male"
"700035385","Oral","Supragingival_plaque","Male"
"700035533","Gut","Stool","Male"
"700035545","Oral","Tongue_dorsum","Male"
"700035549","Oral","Buccal_mucosa","Male"
"700035557","Oral","Supragingival_plaque","Male"
"700035734","Oral","Tongue_dorsum","Male"
"700035746","Skin","Anterior_nares","Male"
"700035747","Gut","Stool","Male"
"700035763","Oral","Buccal_mucosa","Male"
"700035771","Oral","Supragingival_plaque","Male"
"700035785","Gut","Stool","Male"
"700035791","Oral","Tongue_dorsum","Male"
"700035793","Oral","Buccal_mucosa","Male"
"700035803","Skin","Anterior_nares","Male"
"700035828","Oral","Supragingival_plaque","Male"
"700035861","Gut","Stool","Male"
"700035873","Oral","Tongue_dorsum","Male"
"700035897","Skin","Anterior_nares","Male"
"700035937","Oral","Tongue_dorsum","Female"
"700035943","Oral","Supragingival_plaque","Female"
"700035952","Vaginal","Posterior_fornix","Female"
"700035965","Oral","Tongue_dorsum","Female"
"700035977","Oral","Supragingival_plaque","Female"
"700037002","Vaginal","Posterior_fornix","Female"
"700037003","Skin","Anterior_nares","Female"
"700037008","Gut","Stool","Female"
"700037036","Oral","Buccal_mucosa","Male"
"700037040","Oral","Supragingival_plaque","Male"
"700037042","Gut","Stool","Male"
"700037052","Skin","Anterior_nares","Male"
"700037058","Oral","Tongue_dorsum","Male"
"700037061","Oral","Buccal_mucosa","Male"
"700037069","Oral","Supragingival_plaque","Male"
"700037073","Gut","Stool","Male"
"700037077","Oral","Tongue_dorsum","Male"
"700037079","Oral","Buccal_mucosa","Male"
"700037083","Oral","Supragingival_plaque","Male"
"700037090","Gut","Stool","Male"
"700037123","Gut","Stool","Female"
"700037128","Oral","Buccal_mucosa","Female"
"700037132","Oral","Supragingival_plaque","Female"
"700037138","Skin","Anterior_nares","Female"
"700037146","Oral","Tongue_dorsum","Female"
"700037150","Oral","Buccal_mucosa","Female"
"700037158","Oral","Supragingival_plaque","Female"
"700037199","Gut","Stool","Female"
"700037206","Oral","Tongue_dorsum","Female"
"700037209","Oral","Buccal_mucosa","Female"
"700037217","Oral","Supragingival_plaque","Female"
"700037229","Skin","Anterior_nares","Female"
"700037236","Vaginal","Posterior_fornix","Female"
"700037241","Oral","Buccal_mucosa","Male"
"700037251","Skin","Anterior_nares","Male"
"700037258","Oral","Tongue_dorsum","Male"
"700037261","Oral","Buccal_mucosa","Male"
"700037281","Skin","Anterior_nares","Male"
"700037284","Gut","Stool","Male"
"700037287","Oral","Tongue_dorsum","Female"
"700037289","Oral","Buccal_mucosa","Female"
"700037293","Oral","Supragingival_plaque","Female"
"700037303","Gut","Stool","Female"
"700037344","Oral","Tongue_dorsum","Male"
"700037357","Gut","Stool","Male"
"700037392","Oral","Tongue_dorsum","Male"
"700037394","Oral","Buccal_mucosa","Male"
"700037398","Oral","Supragingival_plaque","Male"
"700037405","Gut","Stool","Male"
"700037438","Oral","Tongue_dorsum","Male"
"700037440","Oral","Buccal_mucosa","Male"
"700037444","Oral","Supragingival_plaque","Male"
"700037447","Skin","R_Retroauricular_crease","Male"
"700037450","Skin","Anterior_nares","Male"
"700037453","Gut","Stool","Male"
"700037485","Gut","Stool","Male"
"700037487","Skin","R_Retroauricular_crease","Male"
"700037490","Skin","Anterior_nares","Male"
"700037493","Oral","Tongue_dorsum","Male"
"700037495","Oral","Buccal_mucosa","Male"
"700037496","Oral","Keratinized_gingiva","Male"
"700037497","Oral","Palatine_Tonsils","Male"
"700037498","Oral","Throat","Male"
"700037499","Oral","Supragingival_plaque","Male"
"700037500","Oral","Subgingival_plaque","Male"
"700037501","Gut","Stool","Male"
"700037504","Skin","R_Retroauricular_crease","Male"
"700037510","Skin","Anterior_nares","Male"
"700037516","Oral","Tongue_dorsum","Male"
"700037533","Gut","Stool","Male"
"700037534","Skin","L_Retroauricular_crease","Male"
"700037535","Skin","R_Retroauricular_crease","Male"
"700037538","Skin","Anterior_nares","Male"
"700037539","Gut","Stool","Male"
"700037542","Oral","Tongue_dorsum","Male"
"700037544","Oral","Buccal_mucosa","Male"
"700037548","Oral","Supragingival_plaque","Male"
"700037552","Skin","R_Retroauricular_crease","Male"
"700037558","Skin","Anterior_nares","Male"
"700037561","Gut","Stool","Male"
"700037587","Skin","R_Retroauricular_crease","Male"
"700037590","Skin","Anterior_nares","Male"
"700037591","Oral","Saliva","Male"
"700037593","Oral","Tongue_dorsum","Male"
"700037595","Oral","Buccal_mucosa","Male"
"700037596","Oral","Keratinized_gingiva","Male"
"700037597","Oral","Palatine_Tonsils","Male"
"700037598","Oral","Throat","Male"
"700037599","Oral","Supragingival_plaque","Male"
"700037600","Oral","Subgingival_plaque","Male"
"700037632","Gut","Stool","Male"
"700037641","Oral","Tongue_dorsum","Male"
"700037643","Oral","Buccal_mucosa","Male"
"700037647","Oral","Supragingival_plaque","Male"
"700037649","Gut","Stool","Male"
"700037686","Skin","Anterior_nares","Female"
"700037690","Oral","Tongue_dorsum","Female"
"700037692","Oral","Buccal_mucosa","Female"
"700037696","Oral","Supragingival_plaque","Female"
"700037716","Vaginal","Posterior_fornix","Female"
"700037738","Gut","Stool","Female"
"700037741","Oral","Tongue_dorsum","Female"
"700037743","Oral","Buccal_mucosa","Female"
"700037747","Oral","Supragingival_plaque","Female"
"700037756","Vaginal","Posterior_fornix","Female"
"700037757","Gut","Stool","Female"
"700037798","Oral","Tongue_dorsum","Female"
"700037800","Oral","Buccal_mucosa","Female"
"700037804","Oral","Supragingival_plaque","Female"
"700037810","Skin","Anterior_nares","Female"
"700037819","Oral","Tongue_dorsum","Female"
"700037823","Oral","Buccal_mucosa","Female"
"700037831","Oral","Supragingival_plaque","Female"
"700037843","Skin","Anterior_nares","Female"
"700037850","Vaginal","Posterior_fornix","Female"
"700037852","Gut","Stool","Female"
"700037857","Skin","Anterior_nares","Male"
"700037858","Oral","Supragingival_plaque","Male"
"700037860","Oral","Tongue_dorsum","Male"
"700037862","Oral","Buccal_mucosa","Male"
"700037868","Gut","Stool","Male"
"700037899","Gut","Stool","Male"
"700037910","Oral","Buccal_mucosa","Male"
"700037914","Oral","Supragingival_plaque","Male"
"700037916","Gut","Stool","Male"
"700037956","Vaginal","Posterior_fornix","Female"
"700037959","Oral","Tongue_dorsum","Female"
"700037961","Oral","Buccal_mucosa","Female"
"700037965","Oral","Supragingival_plaque","Female"
"700037967","Gut","Stool","Female"
"700038053","Gut","Stool","Male"
"700038058","Oral","Buccal_mucosa","Female"
"700038062","Oral","Supragingival_plaque","Female"
"700038068","Skin","Anterior_nares","Female"
"700038071","Vaginal","Posterior_fornix","Female"
"700038072","Gut","Stool","Female"
"700038078","Oral","Tongue_dorsum","Female"
"700038109","Gut","Stool","Female"
"700038158","Gut","Stool","Male"
"700038167","Gut","Stool","Female"
"700038170","Oral","Tongue_dorsum","Female"
"700038172","Oral","Buccal_mucosa","Female"
"700038263","Gut","Stool","Male"
"700038268","Oral","Tongue_dorsum","Female"
"700038270","Oral","Buccal_mucosa","Female"
"700038274","Oral","Supragingival_plaque","Female"
"700038283","Vaginal","Posterior_fornix","Female"
"700038284","Gut","Stool","Female"
"700038343","Skin","Anterior_nares","Male"
"700038348","Oral","Buccal_mucosa","Male"
"700038370","Oral","Tongue_dorsum","Male"
"700038382","Oral","Supragingival_plaque","Male"
"700038386","Gut","Stool","Male"
"700095213","Gut","Stool","Female"
"700095219","Oral","Tongue_dorsum","Female"
"700095221","Oral","Buccal_mucosa","Female"
"700095225","Oral","Supragingival_plaque","Female"
"700095231","Skin","Anterior_nares","Female"
"700095234","Vaginal","Posterior_fornix","Female"
"700095473","Oral","Tongue_dorsum","Male"
"700095475","Oral","Buccal_mucosa","Male"
"700095479","Oral","Supragingival_plaque","Male"
"700095485","Skin","Anterior_nares","Male"
"700095486","Gut","Stool","Male"
"700095514","Skin","L_Retroauricular_crease","Male"
"700095516","Skin","R_Retroauricular_crease","Male"
"700095524","Gut","Stool","Male"
"700095530","Oral","Tongue_dorsum","Male"
"700095536","Oral","Supragingival_plaque","Male"
"700095647","Gut","Stool","Female"
"700095653","Oral","Tongue_dorsum","Female"
"700095655","Oral","Buccal_mucosa","Female"
"700095659","Oral","Supragingival_plaque","Female"
"700095668","Vaginal","Posterior_fornix","Female"
"700095705","Skin","Anterior_nares","Female"
"700095717","Gut","Stool","Male"
"700095723","Oral","Tongue_dorsum","Male"
"700095725","Oral","Buccal_mucosa","Male"
"700095729","Oral","Supragingival_plaque","Male"
"700095735","Skin","Anterior_nares","Male"
"700095831","Gut","Stool","Male"
"700095863","Oral","Tongue_dorsum","Male"
"700095962","Oral","Tongue_dorsum","Male"
"700096047","Gut","Stool","Male"
"700096053","Oral","Tongue_dorsum","Male"
"700096367","Oral","Tongue_dorsum","Male"
"700096369","Oral","Buccal_mucosa","Male"
"700096373","Oral","Supragingival_plaque","Male"
"700096379","Skin","Anterior_nares","Male"
"700096380","Gut","Stool","Male"
"700096416","Skin","Anterior_nares","Male"
"700096700","Gut","Stool","Female"
"700096865","Gut","Stool","Female"
"700097185","Oral","Buccal_mucosa","Male"
"700097189","Oral","Supragingival_plaque","Male"
"700097195","Skin","Anterior_nares","Male"
"700097196","Gut","Stool","Male"
"700097208","Oral","Tongue_dorsum","Male"
"700097240","Oral","Tongue_dorsum","Male"
"700097637","Oral","Tongue_dorsum","Male"
"700097688","Gut","Stool","Female"
"700097694","Oral","Tongue_dorsum","Female"
"700097700","Oral","Supragingival_plaque","Female"
"700097709","Vaginal","Posterior_fornix","Female"
"700097726","Oral","Buccal_mucosa","Female"
"700097746","Skin","Anterior_nares","Female"
"700097837","Gut","Stool","Female"
"700097843","Oral","Tongue_dorsum","Female"
"700097845","Oral","Buccal_mucosa","Female"
"700097849","Oral","Supragingival_plaque","Female"
"700097858","Vaginal","Posterior_fornix","Female"
"700097859","Gut","Stool","Female"
"700097895","Skin","Anterior_nares","Female"
"700097906","Gut","Stool","Female"
"700097912","Oral","Tongue_dorsum","Female"
"700097914","Oral","Buccal_mucosa","Female"
"700097918","Oral","Supragingival_plaque","Female"
"700097927","Vaginal","Posterior_fornix","Female"
"700098121","Oral","Supragingival_plaque","Female"
"700098365","Oral","Tongue_dorsum","Female"
"700098429","Gut","Stool","Female"
"700098435","Oral","Tongue_dorsum","Female"
"700098437","Oral","Buccal_mucosa","Female"
